,city,state,stores
2377,sheffield,il,1
2378,shelbyville,il,1
2379,sheridan,il,1
2380,sherrard,il,1
2381,shipman,il,1
2382,silvis,il,1
2383,smithton,il,1
2384,somonauk,il,1
2385,south-beloit,il,1
2386,south-pekin,il,1
2387,south-roxana,il,1
2388,sparta,il,1
2389,spring-valley,il,2
2390,springfield,il,15
2391,staunton,il,2
2392,steeleville,il,1
2393,steger,il,1
2394,sterling,il,1
2395,stewardson,il,1
2396,streator,il,2
2397,sullivan,il,1
2398,sumner,il,1
2399,table-grove,il,1
2400,tamaroa,il,1
2401,taylorville,il,1
2402,teutopolis,il,1
2403,thomasboro,il,1
2404,thompsonville,il,1
2405,tilton,il,1
2406,toledo,il,1
2407,tolono,il,1
2408,toluca,il,1
2409,tonica,il,1
2410,toulon,il,1
2411,tremont,il,1
2412,trenton,il,1
2413,troy,il,1
2414,tuscola,il,1
2415,ullin,il,1
2416,university-park,il,1
2417,urbana,il,2
2418,utica,il,1
2419,valmeyer,il,1
2420,vandalia,il,1
2421,vienna,il,2
2422,villa-grove,il,1
2423,villa-park,il,1
2424,viola,il,1
2425,virden,il,1
2426,virginia,il,1
2427,walnut,il,1
2428,warren,il,1
2429,warrensburg,il,1
2430,warsaw,il,1
2431,washburn,il,1
2432,washington,il,2
2433,waterloo,il,1
2434,waterman,il,1
2435,watseka,il,1
2436,waukegan,il,4
2437,waverly,il,1
2438,wayne-city,il,1
2439,west-chicago,il,1
2440,west-frankfort,il,2
2441,west-salem,il,1
2442,westchester,il,1
2443,westville,il,1
2444,white-hall,il,1
2445,wilmington,il,2
2446,winchester,il,1
2447,windsor,il,1
2448,winnebago,il,1
2449,winthrop-harbor,il,1
2450,wonder-lake,il,1
2451,wood-dale,il,1
2452,wood-river,il,1
2453,woodhull,il,1
2454,woodlawn,il,1
2455,woodson,il,1
2456,woodstock,il,1
2457,wyoming,il,1
2458,zeigler,il,1
2459,zion,il,2
2460,akron,in,1
2461,albany,in,1
2462,albion,in,2
2463,alexandria,in,3
2464,anderson,in,9
2465,andrews,in,1
2466,angola,in,3
2467,argos,in,1
2468,atlanta,in,1
2469,attica,in,1
2470,auburn,in,1
2471,aurora,in,2
2472,austin,in,1
2473,avilla,in,1
2474,bainbridge,in,1
2475,bargersville,in,1
2476,batesville,in,1
2477,bedford,in,7
2478,beech-grove,in,1
2479,berne,in,1
2480,bicknell,in,1
2481,bloomfield,in,1
2482,bloomington,in,3
2483,bluffton,in,2
2484,boonville,in,2
2485,borden,in,1
2486,boswell,in,1
2487,bourbon,in,1
2488,brazil,in,3
2489,bremen,in,1
2490,bristol,in,1
2491,brookston,in,1
2492,brookville,in,1
2493,brownsburg,in,2
2494,brownstown,in,2
2495,buffalo,in,1
2496,burlington,in,1
2497,burnettsville,in,1
2498,butler,in,1
2499,cambridge-city,in,1
2500,campbellsburg,in,1
2501,carlisle,in,1
2502,carthage,in,1
2503,cayuga,in,1
2504,cedar-lake,in,1
2505,centerville,in,1
2506,central,in,1
2507,chandler,in,1
2508,charlestown,in,1
2509,chesterfield,in,1
2510,chesterton,in,1
2511,chrisney,in,1
2512,churubusco,in,2
2513,cicero,in,1
2514,clarksville,in,1
2515,clay-city,in,1
2516,clinton,in,2
2517,cloverdale,in,2
2518,columbia-city,in,1
2519,columbus,in,8
2520,connersville,in,3
2521,converse,in,1
2522,corydon,in,1
2523,covington,in,1
2524,crawfordsville,in,4
2525,cross-plains,in,1
2526,crothersville,in,1
2527,crown-point,in,2
2528,culver,in,1
2529,cumberland,in,1
2530,dale,in,1
2531,daleville,in,1
2532,danville,in,3
2533,dayton,in,1
2534,decatur,in,2
2535,delphi,in,1
2536,demotte,in,3
2537,depauw,in,1
2538,deputy,in,1
2539,dillsboro,in,1
2540,dublin,in,1
2541,dugger,in,1
2542,dunkirk,in,1
2543,dyer,in,2
2544,east-chicago,in,2
2545,eaton,in,1
2546,eckerty,in,1
2547,edinburgh,in,1
2548,elberfeld,in,1
2549,elizabeth,in,1
2550,elkhart,in,10
2551,elnora,in,1
2552,elwood,in,3
2553,english,in,1
2554,evansville,in,19
2555,fairland,in,1
2556,fairmount,in,1
2557,farmersburg,in,1
2558,farmland,in,1
2559,ferdinand,in,1
2560,flat-rock,in,1
2561,flora,in,1
2562,floyds-knob,in,1
2563,fort-branch,in,1
2564,fort-wayne,in,15
2565,fortville,in,1
2566,fowler,in,1
2567,francesville,in,1
2568,francisco,in,1
2569,frankfort,in,3
2570,franklin,in,2
2571,frankton,in,1
2572,freetown,in,1
2573,fremont,in,2
2574,french-lick,in,1
2575,galveston,in,1
2576,garrett,in,1
2577,gary,in,5
2578,gas-city,in,1
2579,gaston,in,1
2580,geneva,in,1
2581,georgetown,in,1
2582,glenwood,in,1
2583,goodland,in,1
2584,goshen,in,6
2585,gosport,in,1
2586,grabill,in,1
2587,granger,in,1
2588,greencastle,in,2
2589,greenfield,in,4
2590,greensburg,in,2
2591,greentown,in,1
2592,greenville,in,1
2593,greenwood,in,4
2594,griffith,in,1
2595,hagerstown,in,1
2596,hamilton,in,1
2597,hamlet,in,1
2598,hammond,in,3
2599,hanover,in,1
2600,hardinsburg,in,1
2601,harlan,in,1
2602,hartford-city,in,2
2603,haubstadt,in,1
2604,hebron,in,1
2605,henryville,in,1
2606,highland,in,1
2607,hobart,in,4
2608,hope,in,1
2609,howe,in,1
2610,hudson,in,1
2611,huntingburg,in,3
2612,huntington,in,2
2613,hymera,in,1
2614,indianapolis,in,49
2615,ingalls,in,1
2616,jamestown,in,1
2617,jasonville,in,1
2618,jasper,in,2
2619,jeffersonville,in,5
2620,kendallville,in,3
2621,kentland,in,1
2622,kingman,in,1
2623,kingsbury,in,1
2624,kingsford-heights,in,1
2625,kirklin,in,1
2626,knightstown,in,1
2627,knox,in,4
2628,kokomo,in,7
2629,kouts,in,1
2630,la-porte,in,3
2631,ladoga,in,1
2632,lafayette,in,8
2633,lagrange,in,2
2634,lake-station,in,1
2635,lakeville,in,1
2636,lanesville,in,1
2637,lapaz,in,1
2638,lapel,in,1
2639,laporte,in,2
2640,lawrence,in,1
2641,lawrenceburg,in,2
2642,leavenworth,in,1
2643,lebanon,in,2
2644,leesburg,in,2
2645,leo,in,1
2646,lexington,in,1
2647,liberty,in,1
2648,ligonier,in,1
2649,linton,in,2
2650,lizton,in,1
2651,logansport,in,5
2652,loogootee,in,1
2653,losantville,in,1
2654,lowell,in,1
2655,lynn,in,1
2656,lynnville,in,1
2657,madison,in,3
2658,marengo,in,1
2659,marion,in,4
2660,markleville,in,1
2661,martinsville,in,1
2662,medaryville,in,1
2663,medora,in,1
2664,mentone,in,1
2665,merrillville,in,2
2666,michigan-city,in,4
2667,michigantown,in,1
2668,middlebury,in,2
2669,middletown,in,1
2670,milan,in,1
2671,milford,in,1
2672,millersburg,in,1
2673,milroy,in,1
2674,mishawaka,in,5
2675,mitchell,in,2
2676,monroe,in,1
2677,monroe-city,in,1
2678,monroeville,in,1
2679,monrovia,in,1
2680,montezuma,in,1
2681,montgomery,in,1
2682,monticello,in,2
2683,montpelier,in,1
2684,mooresville,in,2
2685,morgantown,in,2
2686,morocco,in,1
2687,morristown,in,1
2688,mount-summit,in,1
2689,mount-vernon,in,2
2690,muncie,in,12
2691,nappanee,in,1
2692,new-albany,in,3
2693,new-carlisle,in,1
2694,new-castle,in,2
2695,new-goshen,in,1
2696,new-harmony,in,1
2697,new-haven,in,2
2698,new-middletown,in,1
2699,new-paris,in,1
2700,new-salisbury,in,1
2701,new-washington,in,1
2702,new-whiteland,in,1
2703,newburgh,in,4
2704,nineveh,in,1
2705,noblesville,in,2
2706,north-judson,in,1
2707,north-liberty,in,1
2708,north-manchester,in,1
2709,north-salem,in,1
2710,north-vernon,in,2
2711,north-webster,in,1
2712,oakland-city,in,1
2713,odon,in,1
2714,oolitic,in,1
2715,orland,in,1
2716,orleans,in,1
2717,osceola,in,1
2718,osgood,in,2
2719,ossian,in,1
2720,otisco,in,1
2721,otterbein,in,1
2722,otwell,in,1
2723,owensville,in,1
2724,oxford,in,1
2725,palmyra,in,1
2726,paoli,in,1
2727,paragon,in,1
2728,parker-city,in,1
2729,patoka,in,1
2730,pekin,in,1
2731,pendleton,in,1
2732,pennville,in,1
2733,peru,in,5
2734,petersburg,in,2
2735,pierceton,in,1
2736,pittsboro,in,1
2737,plainfield,in,1
2738,plymouth,in,4
2739,portage,in,1
2740,porter,in,1
2741,portland,in,1
2742,poseyville,in,1
2743,princeton,in,3
2744,redkey,in,1
2745,remington,in,1
2746,rensselaer,in,1
2747,richland,in,1
2748,richmond,in,6
2749,ridgeville,in,1
2750,rising-sun,in,1
2751,roanoke,in,1
2752,rochester,in,1
2753,rockport,in,2
2754,rockville,in,2
2755,rolling-prairie,in,1
2756,romney,in,1
2757,rosedale,in,1
2758,rossville,in,1
2759,rushville,in,1
2760,russiaville,in,1
2761,saint-meinrad,in,1
2762,saint-paul,in,1
2763,salem,in,2
2764,santa-claus,in,1
2765,schererville,in,1
2766,schneider,in,1
2767,schnellville,in,1
2768,scottsburg,in,2
2769,sellersburg,in,3
2770,seymour,in,3
2771,sharpsville,in,1
2772,shelburn,in,1
2773,shelbyville,in,2
2774,sheridan,in,1
2775,shipshewana,in,1
2776,shoals,in,1
2777,silver-lake,in,0
2778,solsberry,in,1
2779,south-bend,in,12
2780,south-whitley,in,1
2781,spencer,in,2
2782,spencerville,in,1
2783,spiceland,in,1
2784,springville,in,1
2785,stilesville,in,1
2786,sullivan,in,1
2787,sunman,in,1
2788,swayzee,in,1
2789,sweetser,in,1
2790,switz-city,in,1
2791,syracuse,in,2
2792,tell-city,in,2
2793,terre-haute,in,13
2794,thorntown,in,1
2795,tipton,in,1
2796,topeka,in,1
2797,town-of-pines,in,1
2798,trafalgar,in,1
2799,troy,in,1
2800,union-city,in,1
2801,upland,in,1
2802,valparaiso,in,5
2803,van-buren,in,1
2804,veedersburg,in,1
2805,versailles,in,1
2806,vevay,in,1
2807,vincennes,in,3
2808,wabash,in,2
2809,wakarusa,in,1
2810,walkerton,in,2
2811,walton,in,1
2812,wanamaker,in,1
2813,wanatah,in,1
2814,warren,in,1
2815,warsaw,in,3
2816,washington,in,3
2817,waterloo,in,1
2818,waynetown,in,1
2819,west-harrison,in,1
2820,west-lafayette,in,1
2821,west-point,in,1
2822,west-terre-haute,in,1
2823,westport,in,1
2824,westville,in,1
2825,wheatfield,in,2
2826,whiting,in,1
2827,wilkinson,in,1
2828,williamsport,in,1
2829,winamac,in,1
2830,winchester,in,1
2831,winslow,in,1
2832,wolcott,in,1
2833,wolcottville,in,2
2834,woodburn,in,1
2835,worthington,in,1
2836,yorktown,in,1
2837,zanesville,in,1
2838,ackley,ia,1
2839,adair,ia,1
2840,akron,ia,1
2841,albia,ia,1
2842,albion,ia,1
2843,algona,ia,1
2844,allison,ia,1
2845,altoona,ia,1
2846,ames,ia,1
2847,anamosa,ia,1
2848,ankeny,ia,1
2849,atkins,ia,1
2850,atlantic,ia,1
2851,audubon,ia,1
2852,avoca,ia,1
2853,bedford,ia,1
2854,belle-plaine,ia,1
2855,belmond,ia,1
2856,bettendorf,ia,2
2857,bloomfield,ia,1
2858,blue-grass,ia,1
2859,bondurant,ia,1
2860,boone,ia,1
2861,brighton,ia,1
2862,britt,ia,1
2863,brooklyn,ia,1
2864,buffalo-center,ia,1
2865,burlington,ia,3
2866,calmar,ia,1
2867,camanche,ia,1
2868,carlisle,ia,1
2869,carroll,ia,1
2870,carter-lake,ia,1
2871,cascade,ia,1
2872,cedar-falls,ia,2
2873,cedar-rapids,ia,5
2874,center-point,ia,1
2875,centerville,ia,1
2876,central-city,ia,1
2877,chariton,ia,1
2878,charles-city,ia,1
2879,cherokee,ia,1
2880,clarinda,ia,1
2881,clarion,ia,1
2882,clarksville,ia,1
2883,clear-lake,ia,1
2884,clinton,ia,4
2885,columbus-junction,ia,1
2886,coon-rapids,ia,1
2887,corning,ia,1
2888,correctionville,ia,1
2889,corydon,ia,1
2890,council-bluffs,ia,1
2891,crescent,ia,1
2892,cresco,ia,1
2893,creston,ia,1
2894,dallas-center,ia,1
2895,davenport,ia,7
2896,dayton,ia,1
2897,de-witt,ia,1
2898,denison,ia,1
2899,denver,ia,1
2900,des-moines,ia,10
2901,desoto,ia,1
2902,donnellson,ia,1
2903,dubuque,ia,3
2904,dunlap,ia,1
2905,dyersville,ia,1
2906,dysart,ia,1
2907,eagle-grove,ia,2
2908,earlville,ia,1
2909,eddyville,ia,1
2910,edgewood,ia,1
2911,eldon,ia,1
2912,eldora,ia,1
2913,eldridge,ia,1
2914,elkader,ia,1
2915,emmetsburg,ia,1
2916,estherville,ia,1
2917,evansdale,ia,1
2918,exira,ia,1
2919,fairbank,ia,1
2920,fairfax,ia,1
2921,fairfield,ia,1
2922,farmington,ia,1
2923,fayette,ia,1
2924,forest-city,ia,1
2925,fort-dodge,ia,1
2926,fort-madison,ia,2
2927,fredericksburg,ia,1
2928,garner,ia,1
2929,george,ia,1
2930,glenwood,ia,1
2931,graettinger,ia,1
2932,greene,ia,1
2933,greenfield,ia,1
2934,grimes,ia,1
2935,grinnell,ia,1
2936,griswold,ia,1
2937,grundy-center,ia,1
2938,guthrie-center,ia,1
2939,guttenberg,ia,1
2940,hamburg,ia,1
2941,hampton,ia,1
2942,harlan,ia,2
2943,hartley,ia,1
2944,hawarden,ia,1
2945,hedrick,ia,1
2946,holstein,ia,1
2947,hubbard,ia,1
2948,hull,ia,1
2949,humboldt,ia,1
2950,huxley,ia,1
2951,ida-grove,ia,1
2952,independence,ia,1
2953,indianola,ia,2
2954,iowa-city,ia,1
2955,iowa-falls,ia,1
2956,jefferson,ia,1
2957,jesup,ia,1
2958,johnston,ia,1
2959,kalona,ia,1
2960,keokuk,ia,1
2961,keosauqua,ia,1
2962,keystone,ia,1
2963,kingsley,ia,1
2964,knoxville,ia,2
2965,la-porte-city,ia,1
2966,lake-city,ia,1
2967,lake-mills,ia,1
2968,lake-park,ia,1
2969,lake-view,ia,1
2970,lamoni,ia,1
2971,larchwood,ia,1
2972,laurens,ia,1
2973,le-grand,ia,1
2974,lenox,ia,1
2975,leon,ia,1
2976,lime-springs,ia,1
2977,lisbon,ia,1
2978,lone-tree,ia,1
2979,lovilia,ia,1
2980,madrid,ia,1
2981,malvern,ia,1
2982,manchester,ia,1
2983,manly,ia,1
2984,manning,ia,1
2985,manson,ia,1
2986,mapleton,ia,1
2987,maquoketa,ia,1
2988,marengo,ia,1
2989,marion,ia,2
2990,marshalltown,ia,3
2991,mason-city,ia,2
2992,maxwell,ia,1
2993,mediapolis,ia,1
2994,melcher-dallas,ia,1
2995,milford,ia,1
2996,mitchellville,ia,1
2997,monona,ia,1
2998,monroe,ia,1
2999,montezuma,ia,1
3000,monticello,ia,1
3001,montrose,ia,1
3002,moravia,ia,1
3003,mount-ayr,ia,1
3004,mount-pleasant,ia,1
3005,moville,ia,1
3006,muscatine,ia,4
3007,nashua,ia,1
3008,nevada,ia,1
3009,new-hampton,ia,1
3010,new-hartford,ia,1
3011,new-london,ia,1
3012,new-sharon,ia,1
3013,newhall,ia,1
3014,newton,ia,1
3015,nora-springs,ia,1
3016,north-english,ia,1
3017,northwood,ia,1
3018,norwalk,ia,1
3019,oakland,ia,1
3020,odebolt,ia,0
3021,oelwein,ia,1
3022,ogden,ia,1
3023,onawa,ia,2
3024,orange-city,ia,1
3025,osage,ia,1
3026,osceola,ia,1
3027,oskaloosa,ia,2
3028,ottumwa,ia,3
3029,parkersburg,ia,1
3030,paullina,ia,1
3031,pella,ia,1
3032,peosta,ia,0
3033,perry,ia,1
3034,pleasant-hill,ia,1
3035,pleasantville,ia,1
3036,pocahontas,ia,1
3037,pomeroy,ia,1
3038,postville,ia,1
3039,prairie-city,ia,1
3040,preston,ia,1
3041,princeton,ia,1
3042,red-oak,ia,1
3043,redfield,ia,1
3044,reinbeck,ia,1
3045,remsen,ia,1
3046,riceville,ia,1
3047,riverside,ia,1
3048,rock-rapids,ia,1
3049,rock-valley,ia,1
3050,rockwell-city,ia,1
3051,runnells,ia,1
3052,ruthven,ia,1
3053,sac-city,ia,1
3054,saint-ansgar,ia,1
3055,saint-charles,ia,1
3056,sanborn,ia,1
3057,sergeant-bluff,ia,1
3058,sheffield,ia,1
3059,sheldon,ia,1
3060,shenandoah,ia,1
3061,sibley,ia,1
3062,sidney,ia,1
3063,sigourney,ia,1
3064,sioux-city,ia,7
3065,sioux-rapids,ia,1
3066,sloan,ia,1
3067,stanwood,ia,1
3068,storm-lake,ia,1
3069,story-city,ia,1
3070,strawberry-point,ia,1
3071,stuart,ia,1
3072,sumner,ia,1
3073,swea-city,ia,1
3074,tabor,ia,1
3075,tipton,ia,1
3076,toledo,ia,1
3077,treynor,ia,1
3078,tripoli,ia,1
3079,urbana,ia,1
3080,urbandale,ia,1
3081,villisca,ia,1
3082,vinton,ia,1
3083,walcott,ia,1
3084,wapello,ia,1
3085,washington,ia,1
3086,waterloo,ia,6
3087,waukon,ia,1
3088,wayland,ia,0
3089,webster-city,ia,1
3090,wellman,ia,1
3091,west-des-moines,ia,1
3092,west-liberty,ia,1
3093,west-point,ia,1
3094,west-union,ia,1
3095,what-cheer,ia,1
3096,wheatland,ia,1
3097,williamsburg,ia,1
3098,wilton,ia,1
3099,winfield,ia,1
3100,winterset,ia,1
3101,woodbine,ia,1
3102,woodward,ia,1
3103,wyoming,ia,1
3104,abilene,ks,2
3105,alma,ks,1
3106,altamont,ks,1
3107,andover,ks,1
3108,anthony,ks,1
3109,arkansas-city,ks,1
3110,arma,ks,1
3111,atchison,ks,1
3112,atwood,ks,1
3113,auburn,ks,1
3114,augusta,ks,1
3115,baldwin-city,ks,1
3116,basehor,ks,1
3117,baxter-springs,ks,1
3118,bel-aire,ks,1
3119,belle-plaine,ks,1
3120,belleville,ks,1
3121,beloit,ks,1
3122,benton,ks,1
3123,blue-rapids,ks,1
3124,bonner-springs,ks,1
3125,bucklin,ks,0
3126,burlingame,ks,1
3127,burlington,ks,1
3128,burrton,ks,1
3129,caldwell,ks,1
3130,caney,ks,1
3131,carbondale,ks,1
3132,cawker-city,ks,1
3133,chanute,ks,1
3134,chapman,ks,1
3135,cheney,ks,1
3136,cherokee,ks,1
3137,cherryvale,ks,1
3138,chetopa,ks,1
3139,cimarron,ks,1
3140,clay-center,ks,1
3141,clearwater,ks,1
3142,coffeyville,ks,1
3143,colby,ks,1
3144,coldwater,ks,1
3145,columbus,ks,1
3146,concordia,ks,1
3147,conway-springs,ks,1
3148,cottonwood-falls,ks,1
3149,council-grove,ks,1
3150,de-soto,ks,1
3151,derby,ks,1
3152,dighton,ks,1
3153,dodge-city,ks,2
3154,douglass,ks,1
3155,edgerton,ks,1
3156,edwardsville,ks,1
3157,effingham,ks,1
3158,el-dorado,ks,2
3159,elkhart,ks,1
3160,ellinwood,ks,1
3161,ellis,ks,1
3162,ellsworth,ks,1
3163,elwood,ks,1
3164,emporia,ks,3
3165,erie,ks,1
3166,eureka,ks,1
3167,fort-scott,ks,1
3168,fredonia,ks,1
3169,galena,ks,1
3170,galva,ks,1
3171,garden-city,ks,2
3172,garden-plain,ks,1
3173,gardner,ks,1
3174,garnett,ks,1
3175,gas,ks,1
3176,girard,ks,1
3177,goodland,ks,1
3178,great-bend,ks,2
3179,harper,ks,1
3180,haven,ks,1
3181,hays,ks,2
3182,haysville,ks,1
3183,herington,ks,1
3184,hiawatha,ks,1
3185,hill-city,ks,1
3186,hillsboro,ks,1
3187,hoisington,ks,1
3188,holcomb,ks,1
3189,holton,ks,1
3190,horton,ks,1
3191,howard,ks,1
3192,hoxie,ks,1
3193,hoyt,ks,1
3194,hugoton,ks,1
3195,humboldt,ks,1
3196,hutchinson,ks,2
3197,independence,ks,1
3198,inman,ks,1
3199,iola,ks,1
3200,jetmore,ks,1
3201,johnson-city,ks,1
3202,junction-city,ks,4
3203,kansas-city,ks,8
3204,kingman,ks,1
3205,kinsley,ks,1
3206,la-crosse,ks,1
3207,la-cygne,ks,1
3208,lakin,ks,1
3209,lansing,ks,1
3210,larned,ks,1
3211,lawrence,ks,3
3212,leavenworth,ks,1
3213,lebo,ks,1
3214,leoti,ks,1
3215,liberal,ks,2
3216,lincoln,ks,1
3217,lindsborg,ks,1
3218,linwood,ks,1
3219,louisburg,ks,1
3220,lyndon,ks,1
3221,lyons,ks,1
3222,madison,ks,1
3223,maize,ks,1
3224,manhattan,ks,2
3225,mankato,ks,1
3226,marion,ks,1
3227,marysville,ks,1
3228,mayetta,ks,1
3229,mclouth,ks,1
3230,mcpherson,ks,1
3231,meade,ks,1
3232,medicine-lodge,ks,1
3233,meriden,ks,1
3234,minneapolis,ks,1
3235,mission,ks,1
3236,montezuma,ks,1
3237,mound-city,ks,1
3238,moundridge,ks,1
3239,mulvane,ks,1
3240,neodesha,ks,1
3241,ness-city,ks,1
3242,newton,ks,1
3243,norton,ks,1
3244,oakley,ks,1
3245,oberlin,ks,1
3246,ogden,ks,1
3247,olathe,ks,1
3248,osage-city,ks,1
3249,osawatomie,ks,1
3250,osborne,ks,1
3251,oskaloosa,ks,1
3252,oswego,ks,1
3253,ottawa,ks,2
3254,overbrook,ks,1
3255,paola,ks,2
3256,park-city,ks,1
3257,parsons,ks,1
3258,peabody,ks,1
3259,perry,ks,1
3260,phillipsburg,ks,1
3261,pittsburg,ks,4
3262,plainville,ks,1
3263,pleasanton,ks,1
3264,pomona,ks,1
3265,pratt,ks,1
3266,princeton,ks,1
3267,quinter,ks,1
3268,riley,ks,1
3269,riverton,ks,1
3270,rose-hill,ks,2
3271,russell,ks,2
3272,sabetha,ks,1
3273,saint-francis,ks,1
3274,saint-john,ks,1
3275,salina,ks,4
3276,scott-city,ks,1
3277,sedan,ks,1
3278,sedgwick,ks,1
3279,seneca,ks,1
3280,sharon-springs,ks,1
3281,shawnee,ks,2
3282,smith-center,ks,1
3283,solomon,ks,1
3284,south-hutchinson,ks,1
3285,spring-hill,ks,1
3286,stafford,ks,1
3287,sterling,ks,1
3288,stockton,ks,1
3289,sublette,ks,1
3290,syracuse,ks,1
3291,tonganoxie,ks,1
3292,topeka,ks,11
3293,troy,ks,1
3294,udall,ks,1
3295,ulysses,ks,1
3296,valley-center,ks,1
3297,valley-falls,ks,1
3298,wakeeney,ks,1
3299,wakefield,ks,1
3300,wamego,ks,1
3301,washington,ks,1
3302,wathena,ks,1
3303,wellington,ks,1
3304,wellsville,ks,1
3305,westmoreland,ks,1
3306,wichita,ks,25
3307,winfield,ks,1
3308,yates-center,ks,1
3309,adairville,ky,1
3310,albany,ky,3
3311,alexandria,ky,2
3312,allen,ky,1
3313,almo,ky,1
3314,annville,ky,1
3315,argillite,ky,1
3316,arlington,ky,1
3317,artemus,ky,1
3318,ashland,ky,7
3319,auburn,ky,1
3320,bandana,ky,1
3321,barbourville,ky,4
3322,bardstown,ky,5
3323,bardwell,ky,1
3324,barlow,ky,1
3325,baxter,ky,1
3326,beattyville,ky,2
3327,beaver-dam,ky,3
3328,bedford,ky,1
3329,beechmont,ky,1
3330,belfry,ky,1
3331,benton,ky,5
3332,berea,ky,7
3333,big-clifty,ky,1
3334,blackey,ky,1
3335,bloomfield,ky,1
3336,bonnieville,ky,1
3337,booneville,ky,2
3338,boston,ky,1
3339,bowling-green,ky,13
3340,brandenburg,ky,4
3341,breeding,ky,1
3342,brodhead,ky,2
3343,bronston,ky,1
3344,brooks,ky,1
3345,brooksville,ky,1
3346,brownsville,ky,1
3347,bryantsville,ky,1
3348,burgin,ky,1
3349,burkesville,ky,4
3350,burlington,ky,1
3351,burnside,ky,2
3352,bypro,ky,1
3353,cadiz,ky,5
3354,calhoun,ky,2
3355,calvert-city,ky,3
3356,campbellsburg,ky,1
3357,campbellsville,ky,7
3358,campton,ky,1
3359,caneyville,ky,1
3360,canmer,ky,1
3361,carlisle,ky,1
3362,carrollton,ky,1
3363,catlettsburg,ky,1
3364,cave-city,ky,3
3365,cecilia,ky,2
3366,centertown,ky,1
3367,central-city,ky,2
3368,clarkson,ky,1
3369,clay,ky,1
3370,clay-city,ky,1
3371,clinton,ky,1
3372,cloverport,ky,1
3373,coldiron,ky,1
3374,columbia,ky,4
3375,corbin,ky,9
3376,corinth,ky,1
3377,corydon,ky,1
3378,covington,ky,2
3379,coxs-creek,ky,2
3380,crab-orchard,ky,1
3381,crestwood,ky,1
3382,crittenden,ky,1
3383,crofton,ky,1
3384,cromwell,ky,1
3385,cumberland,ky,1
3386,custer,ky,1
3387,cynthiana,ky,4
3388,danville,ky,4
3389,dawson-springs,ky,2
3390,debord,ky,1
3391,dixon,ky,1
3392,dorton,ky,1
3393,drakesboro,ky,1
3394,dry-ridge,ky,2
3395,dunmor,ky,1
3396,earlington,ky,1
3397,east-bernstadt,ky,1
3398,eastern,ky,1
3399,eastview,ky,1
3400,eddyville,ky,2
3401,edmonton,ky,1
3402,elizabethtown,ky,8
3403,elkhorn-city,ky,2
3404,elkton,ky,3
3405,eminence,ky,1
3406,emmalena,ky,1
3407,erlanger,ky,2
3408,eubank,ky,4
3409,evarts,ky,1
3410,ewing,ky,2
3411,fairdale,ky,1
3412,falls-of-rough,ky,1
3413,falmouth,ky,1
3414,fancy-farm,ky,1
3415,farmington,ky,1
3416,ferguson,ky,1
3417,flat-lick,ky,1
3418,flatgap,ky,1
3419,flatwoods,ky,2
3420,flemingsburg,ky,2
3421,florence,ky,3
3422,fordsville,ky,1
3423,fountain-run,ky,1
3424,fourmile,ky,1
3425,frankfort,ky,5
3426,franklin,ky,3
3427,fredonia,ky,1
3428,frenchburg,ky,1
3429,fulton,ky,1
3430,gamaliel,ky,1
3431,garrison,ky,1
3432,georgetown,ky,1
3433,ghent,ky,0
3434,girdler,ky,1
3435,glasgow,ky,8
3436,glendale,ky,1
3437,gracey,ky,1
3438,graham,ky,1
3439,grand-rivers,ky,1
3440,gravel-switch,ky,1
3441,gray,ky,1
3442,grayson,ky,4
3443,greensburg,ky,5
3444,greenup,ky,3
3445,greenville,ky,2
3446,grethel,ky,1
3447,guthrie,ky,1
3448,hagerhill,ky,1
3449,hanson,ky,1
3450,happy,ky,1
3451,hardin,ky,2
3452,hardinsburg,ky,1
3453,hardyville,ky,1
3454,harlan,ky,1
3455,harned,ky,1
3456,harold,ky,1
3457,harrodsburg,ky,3
3458,hartford,ky,2
3459,hawesville,ky,2
3460,hazard,ky,4
3461,hazel,ky,1
3462,hazel-green,ky,1
3463,hebron,ky,1
3464,henderson,ky,4
3465,hickman,ky,1
3466,hickory,ky,1
3467,hindman,ky,1
3468,hitchins,ky,1
3469,hodgenville,ky,2
3470,hopkinsville,ky,9
3471,horse-cave,ky,1
3472,hyden,ky,1
3473,independence,ky,1
3474,inez,ky,2
3475,irvine,ky,4
3476,irvington,ky,2
3477,jackson,ky,2
3478,jamestown,ky,1
3479,jeffersontown,ky,2
3480,jeffersonville,ky,1
3481,jenkins,ky,1
3482,junction-city,ky,1
3483,kevil,ky,2
3484,kimper,ky,1
3485,kirksey,ky,1
3486,kuttawa,ky,1
3487,la-center,ky,1
3488,la-grange,ky,1
3489,lakeview-heights,ky,1
3490,lancaster,ky,1
3491,lawrenceburg,ky,3
3492,lebanon,ky,2
3493,lebanon-junction,ky,1
3494,ledbetter,ky,1
3495,leitchfield,ky,6
3496,lewisburg,ky,1
3497,lewisport,ky,1
3498,lexington,ky,7
3499,liberty,ky,3
3500,livermore,ky,1
3501,london,ky,15
3502,loretto,ky,1
3503,louisa,ky,3
3504,louisville,ky,35
3505,lovelaceville,ky,1
3506,lowmansville,ky,1
3507,maceo,ky,0
3508,madisonville,ky,7
3509,magnolia,ky,1
3510,manchester,ky,7
3511,marion,ky,2
3512,martin,ky,1
3513,mayfield,ky,6
3514,maysville,ky,2
